Time (seconds),Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
331,5.516666667,16,9.99031,33.32408716
332,5.533333333,16,9.993587,33.33501805
333,5.55,16,9.997111,33.34677285
334,5.566666667,16,10.00091,33.35944495
335,5.583333333,16,10.00453,33.37151997
336,5.6,16,10.00846,33.38462904
337,5.616666667,16,10.01249,33.39807168
338,5.633333333,16,10.01689,33.4127485
339,5.65,16,10.0297,33.45547806
340,5.666666667,16,10.03416,33.47035501
341,5.683333333,16,10.03887,33.48606588
342,5.7,16,10.1208,33.75935495
343,5.716666667,16,10.1266,33.77870166
344,5.733333333,16,10.13245,33.79821516
345,5.75,16,10.13817,33.81729503
346,5.766666667,16,10.14463,33.83884327
347,5.783333333,16,10.151,33.8600913
348,5.8,16,10.15721,33.88080563
349,5.816666667,16,10.16397,33.90335457
350,5.833333333,16,10.17071,33.92583679
351,5.85,16,10.17734,33.94795209
352,5.866666667,14,10.46629,34.91178554
353,5.883333333,14,10.45441,34.87215812
354,5.9,14,10.44366,34.83629998
355,5.916666667,14,10.43259,34.79937444
356,5.933333333,14,10.42121,34.76141485
357,5.95,14,10.41004,34.72415574
358,5.966666667,14,10.39978,34.68993206
359,5.983333333,14,10.38898,34.65390714
360,6,14,10.37914,34.62108443
361,6.016666667,14,10.36936,34.58846186
362,6.033333333,14,10.35896,34.5537712
363,6.05,14,10.34968,34.52281645
364,6.066666667,14,10.34036,34.49172827
365,6.083333333,14,10.33056,34.45903899
366,6.1,14,10.32179,34.42978542
367,6.116666667,14,10.3131,34.4007987
368,6.133333333,14,10.304,34.37044437
369,6.15,14,10.29603,34.34385931
370,6.166666667,14,10.28744,34.31520616
371,6.183333333,14,10.27952,34.28878788
372,6.2,14,10.2711,34.26070178
373,6.216666667,14,10.26344,34.23515077
374,6.233333333,14,10.25539,34.20829886
375,6.25,14,10.24859,34.1856165
376,6.266666667,14,10.2408,34.15963186
377,6.283333333,14,10.23407,34.137183
378,6.3,14,10.22604,34.1103978
379,6.316666667,14,10.21785,34.0830789
380,6.333333333,14,10.21058,34.05882879
381,6.35,14,10.20293,34.03331114
382,6.366666667,14,10.19622,34.01092899
383,6.383333333,14,10.18904,33.98697909
384,6.4,14,10.18227,33.9643968
385,6.416666667,14,10.17597,33.94338226
386,6.433333333,14,10.17004,33.92360191
387,6.45,14,10.1636,33.90212038
388,6.466666667,14,10.1575,33.88177297
389,6.483333333,14,10.15229,33.86439428
390,6.5,14,10.14638,33.84468064
391,6.516666667,16,9.966124,33.24341135
392,6.533333333,16,9.966558,33.24485902
393,6.55,16,9.967133,33.24677701
394,6.566666667,16,9.955531,33.2080769
395,6.583333333,16,9.95619,33.21027509
396,6.6,16,9.956969,33.21287355
397,6.616666667,16,9.957891,33.21594901
398,6.633333333,16,9.958672,33.21855415
399,6.65,16,9.958852,33.21915457
400,6.666666667,16,9.959202,33.22032204
401,6.683333333,16,9.959721,33.22205324
402,6.7,16,9.960358,33.22417804
403,6.716666667,16,9.961209,33.22701667
404,6.733333333,16,9.962191,33.23029227
405,6.75,16,9.963267,33.23388142
406,6.766666667,16,9.964572,33.23823443
407,6.783333333,16,9.966032,33.24310447
408,6.8,16,9.967615,33.24838479
409,6.816666667,16,9.969501,33.25467581
410,6.833333333,16,9.971349,33.26084007
411,6.85,16,9.973016,33.26640058
412,6.866666667,16,9.975035,33.27313524
413,6.883333333,16,9.977037,33.2798132
414,6.9,16,9.979291,33.28733173
415,6.916666667,16,9.981584,33.29498036
416,6.933333333,16,9.984183,33.30364969
417,6.95,16,9.986728,33.31213889
418,6.966666667,16,9.989618,33.3217789
419,6.983333333,16,9.992652,33.33189923
420,7,16,9.995639,33.34186279
421,7.016666667,16,9.998942,33.35288041
422,7.033333333,16,10.00244,33.36454848
423,7.05,16,10.0058,33.37575624
424,7.066666667,16,10.00942,33.38783126
425,7.083333333,16,10.01329,33.40074019
426,7.1,16,10.01717,33.41368247
427,7.116666667,16,10.02122,33.42719182
428,7.133333333,16,10.02541,33.44116816
429,7.15,16,10.03991,33.48953495
430,7.166666667,16,10.04427,33.50407834
431,7.183333333,14,10.04726,33.51405191
432,7.2,14,10.0479,33.51618672
433,7.216666667,16,10.1407,33.8257342
434,7.233333333,16,10.14636,33.84461393
435,7.25,16,10.1526,33.86542833
436,7.266666667,16,10.15904,33.88690986
437,7.283333333,16,10.16518,33.90739069
438,7.3,16,10.17194,33.92993963
439,7.316666667,16,10.17861,33.95218835
440,7.333333333,16,10.18503,33.97360317
441,7.35,16,10.19205,33.99701936
442,7.366666667,16,10.19922,34.02093591
443,7.383333333,14,10.4434,34.83543272
444,7.4,14,10.43209,34.79770662
445,7.416666667,14,10.42071,34.75974702
446,7.433333333,14,10.40955,34.72252127
447,7.45,14,10.39922,34.6880641
448,7.466666667,14,10.38862,34.65270631
449,7.483333333,14,10.37813,34.61771543
450,7.5,14,10.36769,34.58289134
451,7.516666667,14,10.35758,34.54916801
452,7.533333333,14,10.34808,34.51747942
453,7.55,14,10.33846,34.48539056
454,7.566666667,14,10.3293,34.45483609
455,7.583333333,14,10.31951,34.42218016
456,7.6,14,10.31095,34.39362707
457,7.616666667,14,10.30214,34.36424008
458,7.633333333,14,10.29293,34.33351882
459,7.65,14,10.28454,34.3055328
460,7.666666667,14,10.27611,34.27741334
461,7.683333333,14,10.26778,34.24962745
462,7.7,14,10.26007,34.22390966
463,7.716666667,14,10.25209,34.19729125
464,7.733333333,14,10.24413,34.17073955
465,7.75,14,10.23567,34.14252002
466,7.766666667,14,10.22735,34.11476749
467,7.783333333,14,10.21915,34.08741523
468,7.8,14,10.21115,34.06073011
469,7.816666667,14,10.20385,34.03637993
470,7.833333333,14,10.19638,34.01146269
471,7.85,14,10.18901,33.98687902
472,7.866666667,14,10.182,33.96349617
473,7.883333333,14,10.17482,33.93954627
474,7.9,14,10.16831,33.91783125
475,7.916666667,14,10.1616,33.8954491
476,7.933333333,14,10.15539,33.87473477
477,7.95,14,10.14926,33.85428729
478,7.966666667,14,10.14336,33.83460701
479,7.983333333,16,9.96039,33.22428478
480,8,16,9.960472,33.2245583
481,8.016666667,16,9.960718,33.22537887
482,8.033333333,16,9.961115,33.22670312
483,8.05,16,9.961653,33.2284977
484,8.066666667,16,9.962381,33.23092604
485,8.083333333,16,9.962831,33.23242708
486,8.1,16,9.96275,33.23215689
487,8.116666667,16,9.962836,33.23244376
488,8.133333333,16,9.963094,33.23330435
489,8.15,16,9.963375,33.23424167
490,8.166666667,16,9.963922,33.23606627
491,8.183333333,16,9.964664,33.23854131
492,8.2,16,9.96555,33.24149669
493,8.216666667,16,9.966543,33.24480898
494,8.233333333,16,9.96779,33.24896852
495,8.25,16,9.969101,33.25334155
496,8.266666667,16,9.970709,33.25870526
497,8.283333333,16,9.972369,33.26424242
498,8.3,16,9.974151,33.27018654
499,8.316666667,16,9.976282,33.27729479
500,8.333333333,16,9.97825,33.28385933
501,8.35,16,9.980314,33.29074409
502,8.366666667,16,9.982537,33.29815922
503,8.383333333,16,9.984837,33.3058312
504,8.4,16,9.987223,33.31379004
505,8.416666667,16,9.989925,33.32280294
506,8.433333333,16,9.992633,33.33183585
507,8.45,16,9.995598,33.34172603
508,8.466666667,16,9.998769,33.35230335
509,8.483333333,16,10.00212,33.36348108
510,8.5,16,10.00483,33.37252067
511,8.516666667,16,10.00762,33.3818271
512,8.533333333,16,10.01057,33.39166724
513,8.55,16,10.01367,33.40200773
514,8.566666667,16,10.01679,33.41241493
515,8.583333333,16,10.02003,33.42322241
516,8.6,14,10.01998,33.42305563
517,8.616666667,14,10.01974,33.42225507
518,8.633333333,14,10.01964,33.42192151
519,8.65,14,10.0197,33.42212165
520,8.666666667,14,10.03082,33.45921397
521,8.683333333,14,10.03121,33.46051487
522,8.7,14,10.03176,33.46234948
523,8.716666667,14,10.03243,33.46458436
524,8.733333333,16,10.15271,33.86579525
525,8.75,16,10.15849,33.88507525
526,8.766666667,16,10.16438,33.90472218
527,8.783333333,16,10.17038,33.92473603
528,8.8,16,10.17647,33.94505008
529,8.816666667,16,10.18285,33.96633147
530,8.833333333,16,10.18904,33.98697909
531,8.85,16,10.1957,34.00919445
532,8.866666667,16,10.20255,34.03204359
