Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
241,4.016666667,9,7.000898,23.35248207
242,4.033333333,9,7.009457,23.38103182
243,4.05,9,7.018114,23.40990846
244,4.066666667,10,7.061864,23.55584276
245,4.083333333,10,7.063421,23.56103635
246,4.1,10,7.065229,23.56706719
247,4.116666667,10,7.06723,23.57374181
248,4.133333333,10,7.069365,23.5808634
249,4.15,10,7.071625,23.58840195
250,4.166666667,10,7.074023,23.59640081
251,4.183333333,10,7.076814,23.60571059
252,4.2,10,7.07969,23.61530389
253,4.216666667,10,7.082722,23.62541755
254,4.233333333,10,7.086074,23.63659862
255,4.25,10,7.08958,23.64829338
256,4.266666667,10,7.093432,23.66114227
257,4.283333333,10,7.09745,23.67454487
258,4.3,12,7.096725,23.67212653
259,4.316666667,12,7.095832,23.66914781
260,4.333333333,12,7.095184,23.66698631
261,4.35,12,7.094715,23.6654219
262,4.366666667,12,7.094444,23.66451794
263,4.383333333,12,7.094394,23.66435116
264,4.4,12,7.094548,23.66486484
265,4.416666667,12,7.094899,23.66603565
266,4.433333333,12,7.095432,23.66781355
267,4.45,12,7.096252,23.67054878
268,4.466666667,12,7.09718,23.67364425
269,4.483333333,12,7.098361,23.67758364
270,4.5,12,7.099793,23.68236028
271,4.516666667,12,7.101342,23.68752719
272,4.533333333,12,7.103107,23.6934146
273,4.55,12,7.10517,23.70029602
274,4.566666667,12,7.107293,23.70737759
275,4.583333333,11,6.793821,22.66174755
276,4.6,11,6.789707,22.64802472
277,4.616666667,11,6.78576,22.63485895
278,4.633333333,11,6.781767,22.62153973
279,4.65,11,6.778111,22.60934463
280,4.666666667,11,6.774554,22.59747975
281,4.683333333,11,6.771095,22.58594177
282,4.7,11,6.76792,22.57535111
283,4.716666667,11,6.76431,22.56330945
284,4.733333333,11,6.760674,22.55118106
285,4.75,11,6.756871,22.53849561
286,4.766666667,11,6.753309,22.52661406
287,4.783333333,11,6.682912,22.29179495
288,4.8,11,6.678427,22.2768346
289,4.816666667,11,6.676166,22.26929271
290,4.833333333,11,6.673949,22.2618976
291,4.85,11,6.671883,22.25500616
292,4.866666667,11,6.669955,22.24857505
293,4.883333333,11,6.668139,22.24251752
294,4.9,11,6.666393,22.23669349
295,4.916666667,11,6.664802,22.23138649
296,4.933333333,11,6.66333,22.22647642
297,4.95,11,6.661999,22.22203669
298,4.966666667,11,6.660779,22.2179672
299,4.983333333,11,6.659689,22.21433136
300,5,11,6.658727,22.21112247
301,5.016666667,11,6.657868,22.20825715
302,5.033333333,11,6.657136,22.20581546
303,5.05,11,6.65652,22.20376071
304,5.066666667,11,6.656042,22.20216627
305,5.083333333,11,6.65566,22.20089206
306,5.1,11,6.655425,22.20010818
307,5.116666667,11,6.655299,22.19968789
308,5.133333333,11,6.655301,22.19969456
309,5.15,11,6.655414,22.20007149
310,5.166666667,11,6.655667,22.20091541
311,5.183333333,9,6.882841,22.95868631
312,5.2,9,6.888791,22.97853337
313,5.216666667,9,6.894726,22.9983304
314,5.233333333,9,6.90092,23.01899136
315,5.25,9,6.9072,23.03993918
316,5.266666667,9,6.913724,23.06170091
317,5.283333333,9,6.920338,23.08376283
318,5.3,9,6.927061,23.10618835
319,5.316666667,9,6.933867,23.12889072
320,5.333333333,9,6.940791,23.1519867
321,5.35,9,6.947975,23.17594994
322,5.366666667,9,6.955357,23.20057364
323,5.383333333,9,6.962914,23.22578108
324,5.4,9,6.970547,23.25124203
325,5.416666667,9,6.978457,23.27762695
326,5.433333333,9,6.986107,23.3031446
327,5.45,9,6.994414,23.33085377
328,5.466666667,9,7.002349,23.35732208
329,5.483333333,9,7.010926,23.38593188
330,5.5,10,7.060594,23.55160649
331,5.516666667,10,7.062125,23.55671336
332,5.533333333,10,7.063766,23.56218714
333,5.55,10,7.065532,23.56807789
334,5.566666667,10,7.067459,23.57450567
335,5.583333333,10,7.069629,23.58174401
336,5.6,10,7.072021,23.58972286
337,5.616666667,10,7.074471,23.59789518
338,5.633333333,10,7.077106,23.6066846
339,5.65,10,7.08017,23.616905
340,5.666666667,10,7.083248,23.6271721
341,5.683333333,10,7.086721,23.63875678
342,5.7,10,7.090276,23.65061499
343,5.716666667,10,7.093961,23.66290682
344,5.733333333,10,7.097973,23.67628941
345,5.75,12,7.098576,23.67830081
346,5.766666667,12,7.097738,23.67550554
347,5.783333333,12,7.097118,23.67343744
348,5.8,12,7.096682,23.6719831
349,5.816666667,12,7.096453,23.67121924
350,5.833333333,12,7.096433,23.67115253
351,5.85,12,7.096622,23.67178296
352,5.866666667,12,7.097005,23.67306051
353,5.883333333,12,7.09761,23.67507858
354,5.9,12,7.0984,23.67771373
355,5.916666667,12,7.099368,23.68094263
356,5.933333333,12,7.100656,23.68523894
357,5.95,12,7.101913,23.68943184
358,5.966666667,12,7.103558,23.69491897
359,5.983333333,12,7.105422,23.7011366
360,6,12,7.10746,23.70793464
361,6.016666667,12,7.1096,23.71507291
362,6.033333333,11,6.793201,22.65967945
363,6.05,11,6.788975,22.64558303
364,6.066666667,11,6.785072,22.63256403
365,6.083333333,11,6.781165,22.61953168
366,6.1,11,6.777443,22.60711642
367,6.116666667,11,6.773911,22.59533494
368,6.133333333,11,6.770472,22.58386367
369,6.15,11,6.767424,22.57369663
370,6.166666667,11,6.763642,22.56108124
371,6.183333333,11,6.760017,22.54898954
372,6.2,11,6.756261,22.53646087
373,6.216666667,11,6.685421,22.30016407
374,6.233333333,11,6.683477,22.29367958
375,6.25,11,6.679958,22.28194146
376,6.266666667,11,6.677598,22.27406935
377,6.283333333,11,6.675451,22.26690773
378,6.3,11,6.673468,22.26029315
379,6.316666667,11,6.671514,22.25377531
380,6.333333333,11,6.6696,22.24739089
381,6.35,11,6.66793,22.24182037
382,6.366666667,11,6.666349,22.23654672
383,6.383333333,11,6.664903,22.23172339
384,6.4,11,6.663572,22.22728365
385,6.416666667,11,6.662385,22.22332424
386,6.433333333,11,6.661303,22.21971508
387,6.45,11,6.660326,22.21645616
388,6.466666667,11,6.659502,22.21370759
389,6.483333333,11,6.658761,22.21123588
390,6.5,11,6.658166,22.20925117
391,6.516666667,11,6.657681,22.20763339
392,6.533333333,11,6.657338,22.20648926
393,6.55,11,6.657098,22.20568871
394,6.566666667,11,6.656989,22.20532513
395,6.583333333,11,6.657002,22.20536849
396,6.6,11,6.657136,22.20581546
397,6.616666667,11,6.657143,22.20583881
398,6.633333333,9,6.883371,22.9604542
399,6.65,9,6.889271,22.98013448
400,6.666666667,9,6.895191,22.99988147
401,6.683333333,9,6.901275,23.02017551
402,6.7,9,6.907774,23.04185384
403,6.716666667,9,6.913965,23.06250479
404,6.733333333,9,6.920779,23.08523385
405,6.75,9,6.927453,23.10749592
406,6.766666667,9,6.934347,23.13049183
407,6.783333333,9,6.941557,23.1545418
408,6.8,9,6.948711,23.17840498
409,6.816666667,9,6.955905,23.20240158
410,6.833333333,9,6.963575,23.22798594
411,6.85,9,6.971375,23.25400394
412,6.866666667,9,6.979272,23.2803455
413,6.883333333,9,6.987142,23.30659699
414,6.9,9,6.995192,23.3334489
415,6.916666667,9,7.003181,23.36009734
416,6.933333333,9,7.011677,23.38843694
417,6.95,10,7.060726,23.5520468
418,6.966666667,10,7.062302,23.55730377
419,6.983333333,10,7.063843,23.56244399
420,7,10,7.065541,23.56810791
421,7.016666667,10,7.067725,23.57539295
422,7.033333333,10,7.069708,23.58200752
423,7.05,10,7.072041,23.58978957
424,7.066666667,10,7.074488,23.59795189
425,7.083333333,10,7.077269,23.6072283
426,7.1,10,7.080281,23.61727526
427,7.116666667,10,7.083356,23.62753235
428,7.133333333,10,7.086761,23.63889021
429,7.15,10,7.090284,23.65064167
430,7.166666667,10,7.094209,23.66373406
431,7.183333333,10,7.09812,23.67677975
432,7.2,12,7.097948,23.67620602
433,7.216666667,12,7.097134,23.67349081
434,7.233333333,12,7.096473,23.67128595
435,7.25,12,7.096058,23.66990166
436,7.266666667,12,7.095825,23.66912446
437,7.283333333,12,7.095807,23.66906442
438,7.3,12,7.095994,23.66968818
439,7.316666667,12,7.096376,23.6709624
440,7.333333333,12,7.097007,23.67306719
441,7.35,12,7.097779,23.6756423
442,7.366666667,12,7.098807,23.67907134
443,7.383333333,12,7.100024,23.68313081
444,7.4,12,7.101449,23.6878841
445,7.416666667,12,7.103012,23.69309771
446,7.433333333,12,7.10486,23.69926197
447,7.45,12,7.10694,23.70620011
448,7.466666667,12,7.109129,23.71350183
449,7.483333333,11,6.791975,22.65558995
450,7.5,11,6.787901,22.64200055
451,7.516666667,11,6.783934,22.62876807
452,7.533333333,11,6.780188,22.61627275
453,7.55,11,6.776369,22.60353394
454,7.566666667,11,6.772836,22.59174912
455,7.583333333,11,6.769611,22.58099168
456,7.6,11,6.766281,22.569884
457,7.616666667,11,6.762702,22.55794574
458,7.633333333,11,6.75887,22.54516356
459,7.65,11,6.755422,22.53366227
460,7.666666667,11,6.684129,22.29585442
461,7.683333333,11,6.68216,22.28928654
462,7.7,11,6.678139,22.27587393
463,7.716666667,11,6.675808,22.26809855
464,7.733333333,11,6.673674,22.26098029
465,7.75,11,6.671649,22.25422562
466,7.766666667,11,6.669669,22.24762105
467,7.783333333,11,6.667896,22.24170696
468,7.8,11,6.666265,22.23626653
469,7.816666667,11,6.664672,22.23095285
470,7.833333333,11,6.66326,22.22624293
471,7.85,11,6.661895,22.22168978
472,7.866666667,11,6.660695,22.21768701
473,7.883333333,11,6.659614,22.21408118
474,7.9,11,6.658646,22.21085228
475,7.916666667,11,6.657835,22.20814708
476,7.933333333,11,6.657113,22.20573874
477,7.95,11,6.656554,22.20387412
