Time (minutes),Latency (smooth)
100.0166667,22.59560846
100.35,22.58690327
100.6833333,22.55298564
101.0166667,22.69350285
101.35,22.69387894
101.6833333,22.46139978
102.0166667,22.44310629
102.35,22.60313033
102.6833333,22.62430581
103.0166667,22.61600007
103.35,22.61557561
103.6833333,22.57851747
104.0166667,22.88978781
104.35,22.89813525
104.6833333,22.64450479
105.0166667,22.63828965
105.35,22.60600148
105.6833333,22.73722059
106.0166667,22.74015763
106.35,22.48196484
106.6833333,22.46475794
107.0166667,22.64833494
107.35,22.6677075
107.6833333,22.66606053
108.0166667,22.67036434
108.35,22.65066405
108.6833333,22.77363495
109.0166667,22.77921798
109.35,22.51060132
109.6833333,22.50394254
110.0166667,22.69286241
110.35,22.79665671
110.6833333,22.79337194
111.0166667,22.80075955
111.35,22.78156294
111.6833333,23.04767287
112.0166667,23.06034247
112.35,22.77580229
112.6833333,22.77559965
113.0166667,22.73970148
113.35,22.84040615
113.6833333,22.84422545
114.0166667,22.72741965
114.35,22.7137185
114.6833333,22.98389625
115.0166667,22.99620309
115.35,22.82364872
115.6833333,22.82683843
116.0166667,22.79687436
116.35,22.89204854
116.6833333,22.89596458
117.0166667,22.78873707
117.35,22.77881103
117.6833333,23.05412483
118.0166667,23.08403969
118.35,22.8888088
118.6833333,22.82442009
119.0166667,22.79957957
119.35,22.87998686
119.6833333,22.89300754
120.0166667,22.83586967
120.35,22.82761897
120.6833333,23.10272178
121.0166667,23.18573254
121.35,22.99929523
121.6833333,22.90788866
122.0166667,22.88674404
122.35,23.18193242
122.6833333,23.20172361
123.0166667,22.96830129
123.35,22.91629448
123.6833333,22.9151145
124.0166667,23.00154846
124.35,23.01304057
124.6833333,22.96419178
125.0166667,22.95960861
125.35,23.24331655
125.6833333,23.28485779
126.0166667,23.05269134
126.35,22.9881667
126.6833333,22.9988591
127.0166667,23.3509902
127.35,23.37101656
127.6833333,23.31070984
128.0166667,23.27139264
128.35,23.26761836
128.6833333,23.34563817
129.0166667,23.12869976
129.35,23.08664733
129.6833333,23.09986814
130.0166667,23.38863958
130.35,23.44491518
130.6833333,23.56566205
131.0166667,23.50641356
131.35,23.50044943
131.6833333,23.80942318
132.0166667,23.39704373
132.35,23.36311776
132.6833333,23.3749793
133.0166667,23.35721368
133.35,23.40509764
133.6833333,23.56107471
134.0166667,23.53509674
134.35,23.53560209
134.6833333,23.83348316
135.0166667,23.37244338
135.35,23.47128759
135.6833333,23.48635635
136.0166667,23.47116334
136.35,23.51610443
136.6833333,23.03785691
137.0166667,23.04835751
137.35,23.0550488
137.6833333,23.34223998
138.0166667,23.35424662
138.35,22.94675889
138.6833333,22.96374731
139.0166667,22.95625212
139.35,23.29663093
139.6833333,23.29405665
140.0166667,23.33823555
140.35,23.34950668
140.6833333,23.32780333
141.0166667,23.36221297
141.35,22.92158064
141.6833333,22.95315831
142.0166667,22.95001281
142.35,23.25676502
142.6833333,23.26114471
143.0166667,22.85084503
143.35,22.86965972
143.6833333,22.85359694
144.0166667,23.06430604
144.35,23.06756329
144.6833333,23.1139212
145.0166667,23.12078511
145.35,23.23714061
145.6833333,23.26778181
146.0166667,22.83568621
146.35,22.86079775
146.6833333,22.85545489
147.0166667,23.17214648
147.35,23.18128947
147.6833333,22.78778808
148.0166667,22.81142443
148.35,22.79283907
148.6833333,22.83468969
149.0166667,22.8373482
149.35,22.87511266
149.6833333,22.88171556
150.0166667,23.17601249
150.35,23.21178807
150.6833333,22.79006048
151.0166667,22.81323902
151.35,22.80728823
151.6833333,23.13315951
152.0166667,23.14021272
152.35,22.75194411
152.6833333,22.76842301
153.0166667,22.75103432
153.35,22.7883493
153.6833333,22.78625618
154.0166667,22.81958007
154.35,22.81964512
154.6833333,23.14585496
155.0166667,23.15601782
155.35,22.74787713
155.6833333,22.76200774
156.0166667,22.74491425
156.35,22.77830819
156.6833333,22.77739255
157.0166667,22.40870749
157.35,22.28383611
157.6833333,22.54114328
158.0166667,22.55929
158.35,22.55183651
158.6833333,22.5441095
159.0166667,22.5081688
159.35,22.65034049
159.6833333,22.65346682
160.0166667,22.43066101
160.35,22.40947803
160.6833333,22.55685081
161.0166667,22.5832399
161.35,22.57801212
161.6833333,22.57275432
162.0166667,22.53730146
162.35,22.66730139
162.6833333,22.67302201
163.0166667,22.43968642
163.35,22.42388716
163.6833333,22.57776778
164.0166667,22.60182693
164.35,22.59863055
164.6833333,22.60065945
165.0166667,22.57650358
165.35,22.7037908
165.6833333,22.71126681
166.0166667,22.46442521
166.35,22.44888529
166.6833333,22.62334932
167.0166667,22.74238834
167.35,22.74171287
167.6833333,22.74538458
168.0166667,22.71673142
168.35,22.96273327
168.6833333,22.9751552
169.0166667,22.7183367
169.35,22.70678787
169.6833333,22.67126663
170.0166667,22.77865843
170.35,22.77835155
170.6833333,22.51238422
171.0166667,22.48511869
171.35,22.73896513
171.6833333,22.75547489
172.0166667,22.75102014
172.35,22.74718332
172.6833333,22.70979996
173.0166667,22.82120286
173.35,22.83077615
173.6833333,22.55032964
174.0166667,22.53507825
174.35,22.76792767
174.6833333,22.86538259
175.0166667,22.86504486
175.35,22.76531336
175.6833333,22.74237249
176.0166667,23.01622361
176.35,23.02914505
176.6833333,22.82908748
177.0166667,22.82238951
177.35,22.81622442
177.6833333,22.91123765
178.0166667,22.91612603
178.35,22.81323235
178.6833333,22.79630897
179.0166667,23.06972729
179.35,23.08895059
179.6833333,22.88475182
180.0166667,22.87859173
180.35,22.87962328
180.6833333,22.97294867
181.0166667,22.98126609
181.35,22.87783871
181.6833333,22.8601448
182.0166667,23.12991643
182.35,23.15503798
182.6833333,22.93871249
183.0166667,22.87191044
183.35,22.87778617
