Time Step,Time (minutes),Path Length,Distance,Time of Signal (milliseconds)
251,83.35,12,7.089846,23.64918066
252,83.68333333,12,7.052981,23.52621226
253,84.01666667,11,6.895087,22.99953456
254,84.35,11,6.617851,22.07477481
255,84.68333333,11,6.61098,22.05185562
256,85.01666667,12,7.061313,23.55400482
257,85.35,12,7.050717,23.51866037
258,85.68333333,11,6.66145,22.22020542
259,86.01666667,11,6.605793,22.03455365
260,86.35,12,7.10174,23.68885477
261,86.68333333,12,7.049621,23.5150045
262,87.01666667,12,7.052045,23.5230901
263,87.35,11,6.636487,22.13693781
264,87.68333333,11,6.599269,22.01279193
265,88.01666667,12,7.080726,23.61875962
266,88.35,12,7.041216,23.48696844
267,88.68333333,11,6.856914,22.87220314
268,89.01666667,11,6.602525,22.02365278
269,89.35,11,6.601371,22.01980345
270,89.68333333,12,7.056986,23.5395715
271,90.01666667,12,7.037165,23.47345576
272,90.35,11,6.643579,22.16059418
273,90.68333333,11,6.593984,21.99516307
274,91.01666667,12,7.094745,23.66552197
275,91.35,12,7.039598,23.48157137
276,91.68333333,12,7.040595,23.48489701
277,92.01666667,11,6.623537,22.09374126
278,92.35,11,6.594146,21.99570344
279,92.68333333,12,7.071909,23.58934927
280,93.01666667,12,7.032901,23.45923259
281,93.35,11,6.809046,22.71253268
282,93.68333333,11,6.59213,21.98897879
283,94.01666667,11,6.603186,22.02585764
284,94.35,12,7.042673,23.49182847
285,94.68333333,12,7.02978,23.44882205
286,95.01666667,11,6.629089,22.11226074
287,95.35,11,6.591238,21.9860034
288,95.68333333,12,7.092336,23.65748641
289,96.01666667,10,6.891415,22.98728609
290,96.35,10,6.969047,23.24623857
291,96.68333333,11,6.598432,22.01
292,97.01666667,11,6.595428,21.99997973
293,97.35,10,6.876034,22.9359806
294,97.68333333,10,6.92517,23.09988065
295,98.01666667,11,6.784418,22.63038252
296,98.35,11,6.59345,21.99338183
297,98.68333333,11,6.611784,22.05453748
298,99.01666667,10,6.904247,23.03008904
299,99.35,10,6.975066,23.26631579
300,99.68333333,11,6.617014,22.07198288
301,100.0166667,11,6.599645,22.01404613
302,100.35,10,6.893808,22.99526828
303,100.6833333,10,6.934393,23.13064527
304,101.0166667,11,6.785518,22.63405172
305,101.35,11,6.600096,22.0155505
306,101.6833333,11,6.615026,22.06535162
307,102.0166667,10,6.912456,23.05747131
308,102.35,10,6.977414,23.27414788
309,102.6833333,11,6.625489,22.10025244
310,103.0166667,11,6.605066,22.03212864
311,103.35,10,6.911947,23.05577347
312,103.6833333,10,6.932975,23.12591533
313,104.0166667,10,6.998755,23.34533379
314,104.35,11,6.615076,22.06551841
315,104.6833333,11,6.607801,22.04125162
316,105.0166667,10,6.925522,23.1010548
317,105.35,10,6.960036,23.21618111
318,105.6833333,11,6.77243,22.59039485
319,106.0166667,11,6.611323,22.05299975
320,106.35,11,6.615905,22.06828365
321,106.6833333,10,6.939402,23.14735349
322,107.0166667,10,6.99257,23.32470285
323,107.35,11,6.634554,22.13049002
324,107.6833333,11,6.61393,22.06169576
325,108.0166667,10,6.944563,23.16456874
326,108.35,10,6.968946,23.24590167
327,108.6833333,11,6.782017,22.62237364
328,109.0166667,11,6.620625,22.08402788
329,109.35,11,6.622446,22.09010208
330,109.6833333,10,6.960961,23.21926658
331,110.0166667,10,7.008564,23.37805309
332,110.35,11,6.745092,22.4992051
333,110.6833333,11,6.618507,22.07696299
334,111.0166667,10,6.96982,23.24881702
335,111.35,10,6.985544,23.30126664
336,111.6833333,10,7.064203,23.56364482
337,112.0166667,11,6.6337,22.12764138
338,112.35,11,6.628608,22.1106563
339,112.6833333,10,6.985301,23.30045608
340,113.0166667,10,7.021155,23.42005215
341,113.35,11,6.754462,22.53046006
342,113.6833333,11,6.633188,22.12593353
343,114.0166667,9,6.845231,22.83323285
344,114.35,10,7.004725,23.36524757
345,114.6833333,10,7.078451,23.61117103
346,115.0166667,11,6.647946,22.17516092
347,115.35,11,6.638309,22.14301535
348,115.6833333,10,7.00855,23.37800639
349,116.0166667,10,7.042519,23.49131478
350,116.35,11,6.762076,22.55585763
351,116.6833333,11,6.643005,22.15867952
352,117.0166667,9,6.879966,22.94909634
353,117.35,10,7.030616,23.45161065
354,117.6833333,12,7.092224,23.65711282
355,118.0166667,11,6.678878,22.27833897
356,118.35,11,6.645851,22.16817276
357,118.6833333,9,6.953403,23.1940558
358,119.0166667,10,7.062436,23.55775074
359,119.35,11,6.7753,22.59996814
360,119.6833333,11,6.661465,22.22025545
361,120.0166667,9,6.884885,22.96550436
362,120.35,10,7.052542,23.52474791
363,120.6833333,12,7.105195,23.70037941
364,121.0166667,11,6.761009,22.5522985
365,121.35,11,6.661315,22.21975511
366,121.6833333,9,6.94293,23.15912163
367,122.0166667,10,7.079839,23.6158009
368,122.35,12,7.11499,23.73305202
369,122.6833333,11,6.685048,22.29891987
370,123.0166667,11,6.663017,22.22543237
371,123.35,9,7.017474,23.40777365
372,123.6833333,10,7.113575,23.72833208
373,124.0166667,11,6.788697,22.64465572
374,124.35,11,6.676798,22.27140084
375,124.6833333,9,6.958896,23.21237848
376,125.0166667,10,7.108079,23.7099994
377,125.35,12,7.128911,23.77948747
378,125.6833333,11,6.726613,22.43756579
379,126.0166667,11,6.680489,22.28371269
380,126.35,9,7.030703,23.45190085
381,126.6833333,12,7.141733,23.82225706
382,127.0166667,12,7.148878,23.84609022
383,127.35,11,6.704504,22.36381811
384,127.6833333,9,6.958385,23.21067397
385,128.0166667,9,7.094585,23.66498826
386,128.35,12,7.144352,23.83099311
387,128.6833333,11,6.798063,22.67589734
388,129.0166667,11,6.698239,22.34292031
389,129.35,9,7.044157,23.49677856
390,129.6833333,12,7.160206,23.88387636
391,130.0166667,12,7.144349,23.8309831
392,130.35,11,6.765723,22.56802271
393,130.6833333,10,7.188953,23.97976603
394,131.0166667,9,7.089157,23.6468824
395,131.35,12,7.137197,23.8071266
396,131.6833333,12,7.136235,23.80391771
397,132.0166667,11,6.69444,22.33024821
398,132.35,9,7.048474,23.51117852
399,132.6833333,12,7.151421,23.85457275
400,133.0166667,12,7.114931,23.73285521
401,133.35,11,6.751861,22.52178405
402,133.6833333,10,7.235517,24.13508681
403,134.0166667,9,7.120269,23.75066087
404,134.35,12,7.115537,23.73487661
405,134.6833333,12,7.109071,23.71330836
406,135.0166667,11,6.682652,22.29092768
407,135.35,12,7.2388,24.14603772
408,135.6833333,12,7.133607,23.79515164
409,136.0166667,12,7.090852,23.65253632
410,136.35,11,6.736544,22.47069204
411,136.6833333,11,6.6653,22.23304764
412,137.0166667,9,7.146199,23.83715404
413,137.35,12,7.098876,23.6793015
414,137.6833333,12,7.080935,23.61945676
415,138.0166667,11,6.679698,22.2810742
416,138.35,11,6.657552,22.20720309
417,138.6833333,12,7.119248,23.74725518
418,139.0166667,12,7.071947,23.58947602
419,139.35,12,7.08787,23.64258943
420,139.6833333,11,6.654465,22.19690597
421,140.0166667,12,7.172226,23.92397076
422,140.35,12,7.085463,23.63456055
423,140.6833333,12,7.061844,23.55577604
424,141.0166667,11,6.695728,22.33454452
425,141.35,11,6.643833,22.16144143
426,141.6833333,12,7.12333,23.76087126
427,142.0166667,12,7.058072,23.54319401
428,142.35,12,7.063576,23.56155337
429,142.6833333,11,6.649085,22.17896022
430,143.0166667,11,6.631311,22.11967254
431,143.35,12,7.080634,23.61845274
432,143.6833333,12,7.044314,23.49730226
433,144.0166667,11,6.901761,23.02179663
434,144.35,11,6.635217,22.13270155
435,144.6833333,12,7.136225,23.80388435
436,145.0166667,12,7.052545,23.52475792
437,145.35,12,7.041291,23.48721861
438,145.6833333,11,6.671961,22.25526634
439,146.0166667,11,6.618069,22.07550198
440,146.35,12,7.082658,23.62520407
441,146.6833333,12,7.034884,23.46584716
442,147.0166667,12,7.051728,23.5220327
443,147.35,11,6.629033,22.11207395
444,147.6833333,11,6.610783,22.0511985
445,148.0166667,12,7.063228,23.56039257
446,148.35,12,7.029441,23.44769127
447,148.6833333,11,6.679219,22.27947642
448,149.0166667,11,6.613971,22.06183252
449,149.35,12,7.108514,23.71145041
450,149.6833333,12,7.037359,23.47410287
451,150.0166667,12,7.032131,23.45666414
452,150.35,11,6.656872,22.20493486
453,150.6833333,11,6.602791,22.02454006
454,151.0166667,12,7.065154,23.56681701
455,151.35,12,7.024995,23.43286101
456,151.6833333,12,7.047647,23.50841995
