Time,Time (Minutes),Distance (Hops),Distance (1000km),Time of Signal (milliseconds)
259,86.01666667,17,10.40018,34.69126632
260,86.35,16,9.858484,32.88436295
261,86.68333333,16,9.86306,32.89962685
262,87.01666667,14,9.874416,32.93750639
263,87.35,17,10.38187,34.63019073
264,87.68333333,16,9.872156,32.92996784
265,88.01666667,16,9.847914,32.84910523
266,88.35,14,9.867743,32.91524765
267,88.68333333,16,9.96592,33.24273088
268,89.01666667,17,10.37918,34.62121786
269,89.35,16,9.847081,32.84632664
270,89.68333333,16,9.848482,32.85099987
271,90.01666667,16,9.888824,32.9855663
272,90.35,17,10.36541,34.57528608
273,90.68333333,16,9.865366,32.90731884
274,91.01666667,16,9.841477,32.82763371
275,91.35,16,9.858033,32.88285858
276,91.68333333,16,9.95098,33.1928964
277,92.01666667,17,10.37243,34.59870228
278,92.35,16,9.84881,32.85209396
279,92.68333333,16,9.844004,32.83606287
280,93.01666667,16,9.885146,32.97329781
281,93.35,17,10.35677,34.54646614
282,93.68333333,16,9.867756,32.91529102
283,94.01666667,16,9.838942,32.81917786
284,94.35,16,9.851706,32.86175398
285,94.68333333,16,9.941671,33.16184492
286,95.01666667,17,10.36271,34.56627985
287,95.35,16,9.843032,32.83282063
288,95.68333333,16,9.833178,32.79995122
289,96.01666667,16,9.872573,32.9313588
290,96.35,17,10.34862,34.51928067
291,96.68333333,16,9.867241,32.91357316
292,97.01666667,16,9.833829,32.80212273
293,97.35,16,9.84698,32.84598974
294,97.68333333,16,9.93536,33.14079369
295,98.01666667,17,10.36117,34.56114296
296,98.35,16,9.849881,32.85566644
297,98.68333333,16,9.834825,32.80544503
298,99.01666667,16,9.872078,32.92970766
299,99.35,16,10.23286,34.13314687
300,99.68333333,16,9.874102,32.936459
301,100.0166667,16,9.835068,32.80625559
302,100.35,16,9.846676,32.84497571
303,100.6833333,16,9.929638,33.12170715
304,101.0166667,17,10.35788,34.5501687
305,101.35,16,9.847013,32.84609982
306,101.6833333,16,9.83231,32.79705589
307,102.0166667,16,9.863595,32.90141142
308,102.35,16,10.25812,34.21740516
309,102.6833333,16,9.879983,32.9560759
310,103.0166667,16,9.836465,32.81091548
311,103.35,16,9.845038,32.83951193
312,103.6833333,16,9.909039,33.05299628
313,104.0166667,17,10.36576,34.57645355
314,104.35,16,9.858946,32.88590402
315,104.6833333,16,9.843012,32.83275392
316,105.0166667,16,9.867028,32.91286267
317,105.35,16,9.992321,33.33079513
318,105.6833333,16,9.89026,32.99035628
319,106.0166667,16,9.845161,32.83992221
320,106.35,16,9.847121,32.84646007
321,106.6833333,16,9.918968,33.08611586
322,107.0166667,17,10.37168,34.59620055
323,107.35,16,9.861253,32.89359934
324,107.6833333,16,9.843181,32.83331764
325,108.0166667,16,9.869736,32.92189559
326,108.35,16,10.00093,33.35951167
327,108.6833333,16,9.899128,33.01993675
328,109.0166667,16,9.85532,32.87380899
329,109.35,16,9.853661,32.86827516
330,109.6833333,16,9.911036,33.05965756
331,110.0166667,17,10.3903,34.65831018
332,110.35,16,9.877919,32.94919114
333,110.6833333,16,9.855204,32.87342205
334,111.0166667,16,9.881521,32.96120612
335,111.35,16,10.01055,33.39160053
336,111.6833333,17,10.41963,34.75614453
337,112.0166667,16,9.867562,32.9146439
338,112.35,16,9.86384,32.90222865
339,112.6833333,16,9.915915,33.07593215
340,113.0166667,17,10.40282,34.70007241
341,113.35,16,9.890858,32.992351
342,113.6833333,16,9.861102,32.89309566
343,114.0166667,16,9.889363,32.98736421
344,114.35,16,10.02999,33.45644539
345,114.6833333,17,10.43761,34.81611936
346,115.0166667,16,9.877629,32.9482238
347,115.35,16,9.877724,32.94854069
348,115.6833333,16,9.935019,33.13965624
349,116.0166667,17,10.42669,34.77969416
350,116.35,16,9.909732,33.05530788
351,116.6833333,16,9.88033,32.95723337
352,117.0166667,16,9.9094,33.05420045
353,117.35,16,10.05428,33.53746811
354,117.6833333,17,10.46011,34.89117128
355,118.0166667,16,9.893659,33.00169413
356,118.35,16,9.895396,33.00748813
357,118.6833333,16,9.948678,33.18521775
358,119.0166667,17,10.45048,34.85904906
359,119.35,14,10.35728,34.54816732
360,119.6833333,16,9.893827,33.00225451
361,120.0166667,16,9.924606,33.10492221
362,120.35,16,10.07762,33.61532197
363,120.6833333,14,10.44294,34.83389832
364,121.0166667,16,9.911294,33.06051815
365,121.35,16,9.914271,33.07044836
366,121.6833333,16,9.972013,33.26305494
367,122.0166667,17,10.47754,34.9493115
368,122.35,14,10.31608,34.41073891
369,122.6833333,16,9.918628,33.08498174
370,123.0166667,16,9.946712,33.17865988
371,123.35,16,10.10865,33.71882691
372,123.6833333,14,10.40801,34.71738438
373,124.0166667,14,10.22575,34.10943046
374,124.35,16,9.933676,33.13517647
375,124.6833333,16,9.988616,33.31843658
376,125.0166667,16,10.18522,33.97423694
377,125.35,14,10.28012,34.29078926
378,125.6833333,16,9.964158,33.23685348
379,126.0166667,16,9.965938,33.24279092
380,126.35,16,10.05614,33.5436724
381,126.6833333,14,10.36783,34.58335833
382,127.0166667,14,10.19209,33.99715279
383,127.35,16,9.959,33.21964824
384,127.6833333,16,10.00197,33.36298073
385,128.0166667,16,10.20836,34.05142367
386,128.35,14,10.25594,34.21013347
387,128.6833333,16,9.948267,33.18384681
388,129.0166667,16,9.964841,33.23913172
389,129.35,14,10.02913,33.45357674
390,129.6833333,14,10.32938,34.45510294
391,130.0166667,14,10.14904,33.85355345
392,130.35,16,9.936616,33.14498325
393,130.6833333,16,9.981622,33.29510711
394,131.0166667,16,10.18744,33.98164206
395,131.35,14,10.22104,34.0937196
396,131.6833333,16,9.924582,33.10484215
397,132.0166667,16,9.94178,33.1622085
398,132.35,14,10.00037,33.35764371
399,132.6833333,14,10.30523,34.37454721
400,133.0166667,16,9.932834,33.13236786
401,133.35,16,9.919675,33.08847416
402,133.6833333,16,9.964612,33.23836786
403,134.0166667,16,10.18642,33.97823971
404,134.35,14,10.19363,34.00228968
405,134.6833333,16,9.91309,33.06650896
406,135.0166667,16,9.925505,33.10792095
407,135.35,14,9.974055,33.26986632
408,135.6833333,14,10.26847,34.25192905
409,136.0166667,16,9.919861,33.08909459
410,136.35,16,9.900629,33.02494354
411,136.6833333,16,9.936674,33.14517672
412,137.0166667,16,10.17497,33.94004662
413,137.35,14,10.17138,33.92807167
414,137.6833333,16,9.895119,33.00656416
415,138.0166667,16,9.903278,33.03377966
416,138.35,14,9.953825,33.2023863
417,138.6833333,15,10.34558,34.50914032
418,139.0166667,16,9.910795,33.05885367
419,139.35,16,9.885035,32.97292756
420,139.6833333,16,9.91915,33.08672295
421,140.0166667,16,10.16376,33.90265408
422,140.35,14,10.14212,33.83047081
423,140.6833333,16,9.881026,32.95955497
424,141.0166667,16,9.884698,32.97180345
425,141.35,14,9.933038,33.13304833
426,141.6833333,17,10.4265,34.77906039
427,142.0166667,16,9.890111,32.98985927
428,142.35,16,9.86406,32.90296249
429,142.6833333,16,9.892015,32.99621033
430,143.0166667,16,10.15671,33.87913781
431,143.35,17,10.4394,34.82209015
432,143.6833333,16,9.862626,32.89817918
433,144.0166667,16,9.864122,32.9031693
434,144.35,14,9.910694,33.05851677
435,144.6833333,17,10.41291,34.73372903
436,145.0166667,16,9.878375,32.95071219
437,145.35,16,9.853486,32.86769142
438,145.6833333,16,9.88338,32.96740707
439,146.0166667,16,10.15769,33.88240674
440,146.35,17,10.41878,34.75330924
441,146.6833333,16,9.852861,32.86560665
442,147.0166667,16,9.853567,32.86796161
443,147.35,14,9.869785,32.92205903
444,147.6833333,17,10.39851,34.6856958
445,148.0166667,16,9.864163,32.90330606
446,148.35,16,9.836945,32.81251658
447,148.6833333,16,9.867434,32.91421694
448,149.0166667,16,9.970892,33.25931568
449,149.35,17,10.39602,34.67739005
450,149.6833333,16,9.842766,32.83193335
451,150.0166667,16,9.841831,32.82881453
452,150.35,16,9.898564,33.01805544
453,150.6833333,17,10.383,34.63396
454,151.0166667,16,9.862107,32.89644798
455,151.35,16,9.834157,32.80321682
456,151.6833333,16,9.86297,32.89932664
457,152.0166667,16,9.966729,33.24542941
458,152.35,16,9.893931,33.00260142
459,152.6833333,16,9.839432,32.82081232
460,153.0166667,16,9.837341,32.8138375
461,153.35,16,9.892311,32.99719768
462,153.6833333,17,10.36805,34.58409217
463,154.0166667,16,9.857379,32.88067707
464,154.35,16,9.825344,32.77381981
465,154.6833333,16,9.850616,32.85811813
466,155.0166667,16,9.954552,33.20481131
467,155.35,17,10.37219,34.59790173
468,155.6833333,16,9.832549,32.79785311
469,156.0166667,16,9.831236,32.79347341
470,156.35,16,9.881574,32.9613829
471,156.6833333,17,10.36144,34.56204359
472,157.0166667,16,9.85887,32.88565051
473,157.35,16,9.82935,32.78718239
474,157.6833333,16,9.857501,32.88108402
475,158.0166667,16,9.956725,33.21205966
476,158.35,17,10.37013,34.59103031
477,158.6833333,16,9.838445,32.81752005
478,159.0166667,16,9.835198,32.80668922
479,159.35,16,9.876109,32.94315363
480,159.6833333,17,10.35676,34.54643279
481,160.0166667,16,9.8577,32.88174781
482,160.35,16,9.826496,32.77766247
483,160.6833333,16,9.847622,32.84813122
484,161.0166667,16,9.950439,33.19109182
485,161.35,17,10.36296,34.56711376
486,161.6833333,16,9.839874,32.82228668
487,162.0166667,16,9.834864,32.80557512
488,162.35,16,9.87289,32.9324162
489,162.6833333,17,10.35825,34.55140289
490,163.0166667,16,9.868287,32.91706224
491,163.35,16,9.836275,32.8102817
