Distance,Numhops
9.158442,16
9.158442,16
9.158442,16
9.158442,16
9.158442,16
9.158442,16
9.158442,16
9.158442,16
9.156182,16
9.156182,16
9.156182,16
9.156182,16
9.156182,16
9.156182,16
9.156182,16
9.156182,16
9.154178,16
9.154178,16
9.154178,16
9.154178,16
9.154178,16
9.154178,16
9.154178,16
9.154178,16
9.152373,16
9.152373,16
9.152373,16
9.152373,16
9.152373,16
9.152373,16
9.152373,16
9.152373,16
9.150881,16
9.150881,16
9.150881,16
9.150881,16
9.150881,16
9.150881,16
9.150881,16
9.150881,16
9.149756,16
9.149756,16
9.149756,16
9.149756,16
9.149756,16
9.149756,16
9.149756,16
9.149756,16
9.148994,16
9.148994,16
9.148994,16
9.148994,16
9.148994,16
9.148994,16
9.148994,16
9.148994,16
9.148586,16
9.148586,16
9.148586,16
9.148586,16
9.148586,16
9.148586,16
9.148586,16
9.148586,16
9.148533,16
9.148533,16
9.148533,16
9.148533,16
9.148533,16
9.148533,16
9.148533,16
9.148533,16
9.148825,16
9.148825,16
9.148825,16
9.148825,16
9.148825,16
9.148825,16
9.148825,16
9.148825,16
9.149456,16
9.149456,16
9.149456,16
9.149456,16
9.149456,16
9.149456,16
9.149456,16
9.149456,16
9.150423,16
9.150423,16
9.150423,16
9.150423,16
9.150423,16
9.150423,16
9.150423,16
9.150423,16
9.151715,16
9.151715,16
9.151715,16
9.151715,16
9.151715,16
9.1Distance,Numhops
16.36941,27
16.36941,27
16.36941,27
16.36941,27
16.36941,27
16.36941,27
16.36941,27
16.36941,27
16.40153,27
16.40153,27
16.40153,27
16.40153,27
16.40153,27
16.40153,27
16.40153,27
16.40153,27
16.36894,27
16.36894,27
16.36894,27
16.36894,27
16.36894,27
16.36894,27
16.36894,27
16.37026,27
16.37026,27
16.37026,27
16.37026,27
16.37026,27
16.37026,27
16.37026,27
16.37026,27
16.37135,27
16.37135,27
16.37135,27
16.37135,27
16.37135,27
16.37135,27
16.37135,27
16.37135,27
16.37349,27
16.37349,27
16.37349,27
16.37349,27
16.37349,27
16.37349,27
16.37349,27
16.37349,27
16.37608,27
16.37608,27
16.37608,27
16.37608,27
16.37608,27
16.37608,27
16.37608,27
16.37608,27
16.37856,27
16.37856,27
16.37856,27
16.37856,27
16.37856,27
16.37856,27
16.37856,27
16.37856,27
16.38049,27
16.38049,27
16.38049,27
16.38049,27
16.38049,27
16.38049,27
16.38049,27
16.38049,27
16.38297,27
16.38297,27
16.38297,27
16.38297,27
16.38297,27
16.38297,27
16.38297,27
16.38297,27
16.386,27
16.386,27
16.386,27
16.386,27
16.386,27
16.386,27
16.386,27
16.386,27
16.38958,27
16.38958,27
16.38958,27
16.38958,27
16.38958,27
16.38958,27
16.38958,27
16.38958,27
16.39369,27
16.39369,27
16.39369,27
16.39369,27
16.39369,27
16.39369,27
16.39369,27
16.39369,27
16.39833,27
16.39833,27
16.39833,27
16.39833,27
16.39833,27
16.39833,27
16.39833,27
16.39833,27
16.4035,27
16.4035,27
16.4035,27
16.4035,27
16.4035,27
16.4035,27
16.4035,27
16.4035,27
16.40136,27
16.40136,27
16.40136,27
16.40136,27
16.40136,27
16.40136,27
16.40136,27
16.40136,27
16.39656,27
16.39656,27
16.39656,27
16.39656,27
16.39656,27
16.39656,27
16.39656,27
16.39656,27
16.39227,27
16.39227,27
16.39227,27
16.39227,27
16.39227,27
16.39227,27
16.39227,27
16.39227,27
16.3885,27
16.3885,27
16.3885,27
16.3885,27
16.3885,27
16.3885,27
16.3885,27
16.3885,27
16.38527,27
16.38527,27
16.38527,27
16.38527,27
16.38527,27
16.38527,27
16.38527,27
16.38527,27
16.38247,27
16.38247,27
16.38247,27
16.38247,27
16.38247,27
16.38247,27
16.38247,27
16.38247,27
16.38007,27
16.38007,27
16.38007,27
16.38007,27
16.38007,27
16.38007,27
16.38007,27
16.38007,27
16.37807,27
16.37807,27
16.37807,27
16.37807,27
16.37807,27
16.37807,27
16.37807,27
16.37807,27
16.37654,27
16.37654,27
16.37654,27
16.37654,27
16.37654,27
