NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
858,74,0,71
858,75,0,91
858,76,0,94
858,77,0,85
858,78,0,85
858,79,0,72
858,80,0,68
858,81,0,84
858,82,0,79
858,83,0,71
858,84,0,80
858,85,0,78
858,86,0,79
858,87,0,77
858,88,0,75
858,89,0,89
858,90,0,76
858,91,0,91
858,92,0,75
858,93,0,75
858,94,0,73
858,95,0,75
858,96,0,69
858,97,0,78
858,98,0,71
858,99,0,90
792,0,0,108
792,1,0,107
792,2,0,105
792,3,0,118
792,4,0,107
792,5,0,102
792,6,0,106
792,7,0,104
792,8,0,116
792,9,0,118
792,10,0,111
792,11,0,116
792,12,0,104
792,13,0,115
792,14,0,94
792,15,0,120
792,16,0,117
792,17,0,103
792,18,0,100
792,19,0,94
792,20,0,109
792,21,0,114
792,22,0,96
792,23,0,115
792,24,0,117
792,25,0,113
792,26,0,126
792,27,0,99
792,28,0,98
792,29,0,108
792,30,0,100
792,31,0,94
792,32,0,97
792,33,0,119
792,34,0,99
792,35,0,109
792,36,0,109
792,37,0,114
792,38,0,94
792,39,0,86
792,40,0,108
792,41,0,95
792,42,0,113
792,43,0,100
792,44,0,112
792,45,0,108
792,46,0,112
792,47,0,110
792,48,0,108
792,49,0,117
792,50,0,110
792,51,0,93
792,52,0,113
792,53,0,98
792,54,0,104
792,55,0,105
792,56,0,118
792,57,0,95
792,58,0,110
792,59,0,101
792,60,0,98
792,61,0,115
792,62,0,114
792,63,0,96
792,64,0,105
792,65,0,104
792,66,0,103
792,67,0,115
792,68,0,101
792,69,0,97
792,70,0,95
792,71,0,116
792,72,0,98
792,73,0,105
792,74,0,77
792,75,0,112
792,76,0,109
792,77,0,106
792,78,0,116
792,79,0,105
792,80,0,100
792,81,0,101
792,82,0,114
792,83,0,109
792,84,0,96
792,85,0,101
792,86,0,111
792,87,0,105
792,88,0,117
792,89,0,98
792,90,0,91
792,91,0,99
792,92,0,110
792,93,0,115
792,94,0,104
792,95,0,96
792,96,0,100
792,97,0,108
792,98,0,106
792,99,0,103
726,0,0,143
726,1,0,146
726,2,0,127
726,3,0,130
726,4,0,122
726,5,0,126
726,6,0,119
726,7,0,127
726,8,0,137
726,9,0,131
726,10,0,129
726,11,0,132
726,12,0,141
726,13,0,132
726,14,0,140
726,15,0,108
726,16,0,143
726,17,0,133
726,18,0,132
726,19,0,130
726,20,0,138
726,21,0,140
726,22,0,140
726,23,0,135
726,24,0,128
726,25,0,124
726,26,0,138
726,27,0,125
726,28,0,131
726,29,0,133
726,30,0,135
726,31,0,141
726,32,0,135
726,33,0,140
726,34,0,134
726,35,0,130
726,36,0,138
726,37,0,127
726,38,0,136
726,39,0,146
726,40,0,121
726,41,0,131
726,42,0,151
726,43,0,135
726,44,0,119
726,45,0,121
726,46,0,161
726,47,0,129
726,48,0,122
726,49,0,134
726,50,0,119
726,51,0,125
726,52,0,133
726,53,0,137
726,54,0,148
726,55,0,134
726,56,0,131
726,57,0,133
726,58,0,105
726,59,0,131
726,60,0,134
726,61,0,133
726,62,0,128
726,63,0,135
726,64,0,137
726,65,0,134
726,66,0,138
726,67,0,138
726,68,0,136
726,69,0,146
726,70,0,129
726,71,0,120
726,72,0,130
726,73,0,128
726,74,0,140
726,75,0,132
726,76,0,137
726,77,0,117
726,78,0,140
726,79,0,133
726,80,0,140
726,81,0,156
726,82,0,135
726,83,0,127
726,84,0,141
726,85,0,132
726,86,0,128
726,87,0,126
726,88,0,133
726,89,0,127
726,90,0,151
726,91,0,125
726,92,0,133
726,93,0,126
726,94,0,136
726,95,0,132
726,96,0,131
726,97,0,147
726,98,0,145
726,99,0,133
660,0,0,155
660,1,0,168
660,2,0,157
660,3,0,135
660,4,0,150
660,5,0,164
660,6,0,152
660,7,0,161
660,8,0,154
660,9,0,164
660,10,0,167
660,11,0,157
660,12,0,154
660,13,0,166
660,14,0,159
660,15,0,143
660,16,0,162
660,17,0,175
660,18,0,151
660,19,0,166
660,20,0,153
660,21,0,165
660,22,0,160
660,23,0,162
660,24,0,159
660,25,0,165
660,26,0,172
660,27,0,155
660,28,0,165
660,29,0,173
660,30,0,159
660,31,0,149
660,32,0,139
660,33,0,162
660,34,0,158
660,35,0,160
660,36,0,149
660,37,0,163
660,38,0,158
660,39,0,152
660,40,0,138
660,41,0,152
660,42,0,163
660,43,0,155
660,44,0,161
660,45,0,152
660,46,0,158
660,47,0,172
660,48,0,161
660,49,0,160
660,50,0,155
660,51,0,169
660,52,0,173
660,53,0,157
660,54,0,158
660,55,0,150
660,56,0,155
660,57,0,166
660,58,0,144
660,59,0,154
660,60,0,165
660,61,0,133
660,62,0,164
660,63,0,159
660,64,0,159
660,65,0,158
660,66,0,146
660,67,0,171
660,68,0,172
660,69,0,154
660,70,0,154
660,71,0,171
660,72,0,168
660,73,0,162
660,74,0,153
660,75,0,142
660,76,0,155
660,77,0,160
660,78,0,149
660,79,0,155
660,80,0,161
660,81,0,179
660,82,0,157
660,83,0,164
660,84,0,151
660,85,0,166
660,86,0,170
660,87,0,157
660,88,0,158
660,89,0,152
660,90,0,161
660,91,0,139
660,92,0,161
660,93,0,147
660,94,0,157
660,95,0,159
660,96,0,160
660,97,0,150
660,98,0,136
660,99,0,175
594,0,0,183
594,1,0,183
594,2,0,183
594,3,0,181
594,4,0,195
594,5,0,181
594,6,0,178
594,7,0,175
594,8,0,168
594,9,0,179
594,10,0,174
594,11,0,186
594,12,0,184
594,13,0,179
594,14,0,185
594,15,0,188
594,16,0,183
594,17,0,181
594,18,0,189
594,19,0,167
594,20,0,180
594,21,0,195
594,22,0,171
594,23,0,165
594,24,0,175
594,25,0,187
594,26,0,167
594,27,0,170
594,28,0,184
594,29,0,184
594,30,0,170
594,31,0,182
594,32,0,180
594,33,0,181
594,34,0,193
594,35,0,195
594,36,0,175
594,37,0,192
594,38,0,179
594,39,0,174
594,40,0,191
594,41,0,197
594,42,0,161
594,43,0,180
594,44,0,179
594,45,0,194
594,46,0,182
594,47,0,184
594,48,0,188
594,49,0,187
594,50,0,193
594,51,0,195
594,52,0,178
594,53,0,178
594,54,0,184
594,55,0,182
594,56,0,171
594,57,0,175
594,58,0,188
594,59,0,180
594,60,0,187
594,61,0,194
594,62,0,187
594,63,0,177
594,64,0,181
594,65,0,186
594,66,0,167
594,67,0,182
594,68,0,170
594,69,0,197
594,70,0,165
594,71,0,169
594,72,0,199
594,73,0,189
594,74,0,193
594,75,0,187
594,76,0,190
594,77,0,189
594,78,0,191
594,79,0,179
594,80,0,177
594,81,0,173
594,82,0,172
594,83,0,180
594,84,0,190
594,85,0,166
594,86,0,159
594,87,0,198
594,88,0,181
594,89,0,152
594,90,0,164
594,91,0,194
594,92,0,179
594,93,0,179
594,94,0,183
594,95,0,179
594,96,0,175
594,97,0,182
594,98,0,175
594,99,0,181
528,0,0,179
528,1,0,204
528,2,0,185
528,3,0,187
528,4,0,180
528,5,0,206
528,6,0,183
528,7,0,180
528,8,0,200
528,9,0,193
528,10,0,201
528,11,0,208
528,12,0,179
528,13,0,187
528,14,0,199
