NumOfSatsInConstellation,RepetitionNumber,SampleNumber,NumOfComponents
1254,2,1,2
1254,3,1,3
1254,4,1,4
1254,5,1,2
1254,6,1,4
1254,7,1,6
1254,8,1,5
1254,9,1,7
1254,10,1,4
1254,11,1,6
1254,12,1,5
1254,13,1,9
1254,14,1,4
1254,15,1,5
1254,16,1,4
1254,17,1,2
1254,18,1,4
1254,19,1,2
1254,20,1,3
1254,21,1,1
1254,22,1,6
1254,23,1,1
1254,24,1,1
1254,25,1,4
1254,26,1,2
1254,27,1,3
1254,28,1,4
1254,29,1,4
1254,30,1,3
1254,31,1,3
1254,32,1,5
1254,33,1,5
1254,34,1,5
1254,35,1,6
1254,36,1,2
1254,37,1,5
1254,38,1,4
1254,39,1,6
1254,40,1,2
1254,41,1,6
1254,42,1,3
1254,43,1,6
1254,44,1,2
1254,45,1,3
1254,46,1,4
1254,47,1,2
1254,48,1,2
1254,49,1,3
1254,50,1,1
1254,51,1,2
1254,52,1,5
1254,53,1,2
1254,54,1,3
1254,55,1,2
1254,56,1,8
1254,57,1,2
1254,58,1,3
1254,59,1,1
1254,60,1,4
1254,61,1,4
1254,62,1,3
1254,63,1,3
1254,64,1,7
1254,65,1,4
1254,66,1,4
1254,67,1,2
1254,68,1,4
1254,69,1,6
1254,70,1,3
1254,71,1,4
1254,72,1,2
1254,73,1,5
1254,74,1,4
1254,75,1,3
1254,76,1,5
1254,77,1,6
1254,78,1,6
1254,79,1,1
1254,80,1,3
1254,81,1,3
1254,82,1,6
1254,83,1,5
1254,84,1,3
1254,85,1,2
1254,86,1,3
1254,87,1,4
1254,88,1,2
1254,89,1,4
1254,90,1,4
1254,91,1,4
1254,92,1,3
1254,93,1,1
1254,94,1,3
1254,95,1,1
1254,96,1,3
1254,97,1,3
1254,98,1,3
1254,99,1,4
1188,0,1,6
1188,1,1,7
1188,2,1,12
1188,3,1,4
1188,4,1,8
1188,5,1,7
1188,6,1,7
1188,7,1,5
1188,8,1,5
1188,9,1,9
1188,10,1,12
1188,11,1,5
1188,12,1,4
1188,13,1,7
1188,14,1,4
1188,15,1,8
1188,16,1,6
1188,17,1,7
1188,18,1,5
1188,19,1,5
1188,20,1,7
1188,21,1,6
1188,22,1,4
1188,23,1,13
1188,24,1,10
1188,25,1,6
1188,26,1,8
1188,27,1,5
1188,28,1,8
1188,29,1,4
1188,30,1,10
1188,31,1,6
1188,32,1,6
1188,33,1,7
1188,34,1,6
1188,35,1,5
1188,36,1,8
1188,37,1,8
1188,38,1,4
1188,39,1,6
1188,40,1,5
1188,41,1,5
1188,42,1,11
1188,43,1,6
1188,44,1,9
1188,45,1,8
1188,46,1,5
1188,47,1,4
1188,48,1,16
1188,49,1,9
1188,50,1,7
1188,51,1,6
1188,52,1,7
1188,53,1,5
1188,54,1,6
1188,55,1,4
1188,56,1,6
1188,57,1,5
1188,58,1,6
1188,59,1,8
1188,60,1,6
1188,61,1,7
1188,62,1,10
1188,63,1,6
1188,64,1,7
1188,65,1,7
1188,66,1,5
1188,67,1,11
1188,68,1,6
1188,69,1,7
1188,70,1,7
1188,71,1,5
1188,72,1,5
1188,73,1,5
1188,74,1,11
1188,75,1,12
1188,76,1,7
1188,77,1,5
1188,78,1,5
1188,79,1,12
1188,80,1,9
1188,81,1,8
1188,82,1,5
1188,83,1,7
1188,84,1,7
1188,85,1,12
1188,86,1,3
1188,87,1,9
1188,88,1,7
1188,89,1,7
1188,90,1,8
1188,91,1,4
1188,92,1,3
1188,93,1,4
1188,94,1,6
1188,95,1,6
1188,96,1,4
1188,97,1,9
1188,98,1,5
1188,99,1,3
1122,0,1,15
1122,1,1,14
1122,2,1,7
1122,3,1,8
1122,4,1,3
1122,5,1,15
1122,6,1,7
1122,7,1,16
1122,8,1,8
1122,9,1,8
1122,10,1,9
1122,11,1,15
1122,12,1,16
1122,13,1,5
1122,14,1,6
1122,15,1,11
1122,16,1,14
1122,17,1,8
1122,18,1,11
1122,19,1,10
1122,20,1,13
1122,21,1,5
1122,22,1,12
1122,23,1,7
1122,24,1,9
1122,25,1,10
1122,26,1,14
1122,27,1,11
1122,28,1,8
1122,29,1,14
1122,30,1,17
1122,31,1,8
1122,32,1,17
1122,33,1,14
1122,34,1,12
1122,35,1,12
1122,36,1,7
1122,37,1,12
1122,38,1,10
1122,39,1,13
1122,40,1,14
1122,41,1,14
1122,42,1,15
1122,43,1,10
1122,44,1,10
1122,45,1,12
1122,46,1,11
1122,47,1,9
1122,48,1,14
1122,49,1,10
1122,50,1,11
1122,51,1,20
1122,52,1,10
1122,53,1,8
1122,54,1,11
1122,55,1,5
1122,56,1,11
1122,57,1,14
1122,58,1,8
1122,59,1,7
1122,60,1,9
1122,61,1,9
1122,62,1,11
1122,63,1,15
1122,64,1,9
1122,65,1,14
1122,66,1,12
1122,67,1,16
1122,68,1,14
1122,69,1,12
1122,70,1,9
1122,71,1,5
1122,72,1,11
1122,73,1,12
1122,74,1,13
1122,75,1,11
1122,76,1,13
1122,77,1,14
1122,78,1,9
1122,79,1,17
1122,80,1,10
1122,81,1,10
1122,82,1,8
1122,83,1,14
1122,84,1,10
1122,85,1,9
1122,86,1,8
1122,87,1,12
1122,88,1,7
1122,89,1,10
1122,90,1,8
1122,91,1,11
1122,92,1,11
1122,93,1,9
1122,94,1,11
1122,95,1,14
1122,96,1,6
1122,97,1,14
1122,98,1,13
1122,99,1,19
1056,0,1,14
1056,1,1,22
1056,2,1,20
1056,3,1,24
1056,4,1,14
1056,5,1,17
1056,6,1,15
1056,7,1,21
1056,8,1,20
1056,9,1,15
1056,10,1,19
1056,11,1,20
1056,12,1,17
1056,13,1,15
1056,14,1,18
1056,15,1,12
1056,16,1,18
1056,17,1,13
1056,18,1,23
1056,19,1,19
1056,20,1,18
1056,21,1,25
1056,22,1,24
1056,23,1,21
1056,24,1,17
1056,25,1,17
1056,26,1,20
1056,27,1,17
1056,28,1,21
1056,29,1,22
1056,30,1,20
1056,31,1,14
1056,32,1,15
1056,33,1,19
1056,34,1,19
1056,35,1,16
1056,36,1,18
1056,37,1,15
1056,38,1,15
1056,39,1,20
1056,40,1,23
1056,41,1,11
1056,42,1,21
1056,43,1,26
1056,44,1,22
1056,45,1,19
1056,46,1,17
1056,47,1,18
1056,48,1,17
1056,49,1,14
1056,50,1,21
1056,51,1,19
1056,52,1,19
1056,53,1,16
1056,54,1,24
1056,55,1,16
1056,56,1,24
1056,57,1,19
1056,58,1,21
1056,59,1,14
1056,60,1,20
1056,61,1,13
1056,62,1,26
1056,63,1,21
1056,64,1,17
1056,65,1,11
1056,66,1,21
1056,67,1,13
1056,68,1,21
1056,69,1,18
1056,70,1,15
