time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
time,sat0x,sat0y,sat0z,sat1x,sat1y,sat1z,sat2x,sat2y,sat2z,sat3x,sat3y,sat3z,sat4x,sat4y,sat4z,sat5x,sat5y,sat5z,sat6x,sat6y,sat6z,sat7x,sat7y,sat7z
3,-1.428358,-0.1589683,0.01118131,-7.466875E-09,-0.03937878,-0.6572657,1.424869,-0.2784956,-1.321521,-1.43447,-0.1841224,0.6688738,1.432492,-0.1926798,-0.6688985,-1.42427,-0.2859024,1.319328,-3.144936E-08,-0.04070517,0.6570248,1.428461,-0.1617121,-0.0123807
4,-1.428278,-0.1582813,0.0109999,-3.126807E-08,-0.03865856,-0.6573084,1.424591,-0.2784702,-1.3216,-1.434587,-0.1832276,0.6687565,1.43241,-0.1924533,-0.6690606,-1.424387,-0.2857198,1.319095,-2.874246E-08,-0.04047143,0.6569849,1.428577,-0.1612745,-0.01256891
5,-1.428198,-0.1575951,0.0108165,-7.466875E-09,-0.03794014,-0.6573503,1.424313,-0.2784449,-1.32168,-1.434705,-0.1823337,0.6686352,1.432329,-0.1922276,-0.6692266,-1.424505,-0.2855372,1.318862,1.037993E-09,-0.04023768,0.6569426,1.428693,-0.1608372,-0.01275629
6,-1.428118,-0.1569082,0.01063726,-3.126807E-08,-0.03722003,-0.6573914,1.424035,-0.2784199,-1.321762,-1.434822,-0.1814396,0.6685193,1.432247,-0.1920011,-0.6693901,-1.424622,-0.2853548,1.318632,-1.00167E-08,-0.04000412,0.6569045,1.428809,-0.1603991,-0.01294323
7,-1.428038,-0.1562217,0.0104611,4.602903E-09,-0.03650045,-0.6574317,1.423757,-0.2783946,-1.321845,-1.43494,-0.1805453,0.6684043,1.432166,-0.1917751,-0.6695559,-1.42474,-0.2851726,1.318406,1.006251E-08,-0.03977041,0.6568657,1.428924,-0.1599609,-0.01313124
8,-1.427958,-0.1555349,0.01028652,2.84041E-08,-0.03578105,-0.6574712,1.423479,-0.2783695,-1.32193,-1.434902,-0.1803836,0.6682222,1.432084,-0.1915482,-0.6697186,-1.424857,-0.2849906,1.318183,2.053079E-09,-0.03953743,0.6568315,1.42904,-0.1595233,-0.01331478
9,-1.427878,-0.1548474,0.01010843,-7.466875E-09,-0.03506105,-0.6575102,1.423202,-0.2783444,-1.322016,-1.434822,-0.1804165,0.6680165,1.432002,-0.191321,-0.6698833,-1.424975,-0.2848078,1.317956,2.391442E-09,-0.03930401,0.6567971,1.429156,-0.1590846,-0.01350247
10,-1.427798,-0.1541606,0.009936096,4.602903E-09,-0.03434177,-0.657548,1.422924,-0.278319,-1.322104,-1.434742,-0.180449,0.6678159,1.431921,-0.1910941,-0.6700472,-1.425092,-0.2846256,1.317735,-7.309801E-09,-0.03907124,0.6567648,1.429272,-0.1586462,-0.01368486
11,-1.427718,-0.1534728,0.009763185,1.633432E-08,-0.03362145,-0.6575853,1.422646,-0.2782937,-1.322194,-1.434662,-0.1804823,0.6676171,1.431839,-0.1908669,-0.6702137,-1.42521,-0.2844429,1.317515,1.479958E-08,-0.03883799,0.656732,1.429388,-0.1582071,-0.01386853
12,-1.427638,-0.1527852,0.00959155,4.602903E-09,-0.03290186,-0.6576217,1.422368,-0.2782686,-1.322285,-1.434582,-0.180515,0.6674155,1.431757,-0.1906394,-0.6703808,-1.425327,-0.2842605,1.317296,-3.618643E-08,-0.0386049,0.6567,1.429504,-0.1577687,-0.0140483
13,-1.427558,-0.1520974,0.009423329,-7.466875E-09,-0.0321813,-0.6576574,1.42209,-0.2782432,-1.322377,-1.434502,-0.1805476,0.6672165,1.431676,-0.1904114,-0.6705461,-1.425445,-0.2840783,1.31708,-2.242484E-08,-0.03837179,0.6566713,1.429619,-0.1573292,-0.01422829
14,-1.427478,-0.1514095,0.009257644,-7.466875E-09,-0.03146118,-0.6576922,1.421813,-0.278218,-1.322471,-1.434422,-0.1805803,0.6670159,1.431594,-0.1901836,-0.6707143,-1.425562,-0.2838966,1.316868,-2.648519E-08,-0.0381391,0.6566414,1.429735,-0.1568899,-0.01440986
